sampleid	LibraryName	SampleName	Subject_ID
SRR13191789	S.170808.00041	S.170808.00041_125	CDM_123
SRR13191788	S.170808.00042	S.170808.00042_515	CDM_124
SRR13191787	S.170808.00044	S.170808.00044_495	CDM_125
SRR13191785	S.170808.00046	S.170808.00046_280	CDM_126
SRR13191784	S.170808.00048	S.170808.00048_258	CDM_127
SRR13191783	S.170808.00049	S.170808.00049_239	CDM_128
SRR13191782	S.170808.00051	S.170808.00051_108	CDM_129
SRR13191781	S.170808.00053	S.170808.00053_500	CDM_130
SRR13191780	S.170808.00055	S.170808.00055_586	CDM_131
SRR13191779	S.170808.00056	S.170808.00056_135	CDM_132
SRR13191778	S.170808.00058	S.170808.00058_157	CDM_133
SRR13191777	S.170808.00060	S.170808.00060_311	CDM_134
SRR13191776	S.170808.00062	S.170808.00062_75	CDM_135
SRR13191774	S.170808.00064	S.170808.00064_96	CDM_101
SRR13191773	S.170808.00065	S.170808.00065_479	CDM_136
SRR13191772	S.170808.00067	S.170808.00067_535	CDM_137
SRR13191771	S.170808.00069	S.170808.00069_116	CDM_19
SRR13191770	S.170808.00071	S.170808.00071_261	CDM_138
SRR13191769	S.170808.00073	S.170808.00073_341	CDM_139
SRR13191768	S.170808.00074	S.170808.00074_424	CDM_140
SRR13191767	S.170808.00076	S.170808.00076_574	CDM_141
SRR13191766	S.170808.00077	S.170808.00077_160	CDM_142
SRR13191765	S.170808.00079	S.170808.00079_251	CDM_143
SRR13191763	S.170808.00081	S.170808.00081_442	CDM_144
SRR13191762	S.170808.00082	S.170808.00082_336	CDM_145
SRR13191761	S.170808.00084	S.170808.00084_42	CDM_146
SRR13191760	S.170808.00086	S.170808.00086_65	CDM_147
SRR13191759	S.170808.00088	S.170808.00088_651	CDM_148
SRR13191758	S.170808.00090	S.170808.00090_198	CDM_149
SRR13191757	S.170808.00092	S.170808.00092_436	CDM_150
SRR13191756	S.170808.00094	S.170808.00094_126	CDM_151
SRR13191755	S.170808.00096	S.170808.00096_155	CDM_152
SRR13191754	S.170808.00098	S.170808.00098_94	CDM_153
SRR13191751	S.170808.00100	S.170808.00100_474	CDM_154
SRR13191750	S.170808.00102	S.170808.00102_480	CDM_155
SRR13191749	S.170808.00103	S.170808.00103_376	CDM_156
SRR13191748	S.170808.00105	S.170808.00105_604	CDM_157
SRR13191802	S.170808.00449	S.170808.00449_264	CDM_276
SRR13191801	S.170808.00450	S.170808.00450_546	CDM_277
SRR13191799	S.170808.00451	S.170808.00451_147	CDM_278
SRR13191798	S.170808.00453	S.170808.00453_50	CDM_279
SRR13191797	S.170808.00455	S.170808.00455_410	CDM_280
SRR13191796	S.170808.00457	S.170808.00457_227	CDM_281
SRR13191795	S.170808.00459	S.170808.00459_140	CDM_282
SRR13191794	S.170808.00461	S.170808.00461_180	CDM_283
SRR13191793	S.170808.00463	S.170808.00463_289	CDM_284
SRR13191792	S.170808.00465	S.170808.00465_226	CDM_285
SRR13191791	S.170808.00467	S.170808.00467_378	CDM_286
SRR13191436	S.170808.00775	S.170808.00775_86	CDM_441
SRR13191435	S.170808.00777	S.170808.00777_499	CDM_442
SRR13191434	S.170808.00779	S.170808.00779_456	CDM_443
SRR13191433	S.170808.00786	S.170808.00786_608	CDM_447
SRR13191432	S.170808.00787	S.170808.00787_409	CDM_448
SRR13191431	S.170808.00789	S.170808.00789_2	CDM_381
SRR13191430	S.170808.00791	S.170808.00791_397	CDM_449
SRR13191427	S.170810.00001	S.170810.00001_78	CDM_451
SRR13191426	S.170810.00002	S.170810.00002_115	CDM_452
SRR13191425	S.170810.00006	S.170810.00006_77	CDM_453
SRR13191424	S.170810.00008	S.170810.00008_615	CDM_454
SRR13191423	S.170810.00010	S.170810.00010_501	CDM_455
SRR13191422	S.170810.00012	S.170810.00012_145	CDM_456
SRR13191421	S.170810.00014	S.170810.00014_565	CDM_457
SRR13191420	S.170810.00022	S.170810.00022_559	CDM_187
SRR13191419	S.170810.00025	S.170810.00025_542	CDM_464
SRR13191418	S.170810.00027	S.170810.00027_467	CDM_465
SRR13191416	S.170810.00028	S.170810.00028_146	CDM_466
SRR13191415	S.170822.00208	S.170822.00208_246	CDM_256
SRR13191412	S.170822.00209	S.170822.00209_255	CDM_275
SRR13191411	S.170822.00210	S.170822.00210_61	CDM_375
SRR13191410	S.170822.00211	S.170822.00211_375	CDM_146
SRR13191409	S.170822.00212	S.170822.00212_53	CDM_163
SRR13191408	S.170822.00213	S.170822.00213_169	CDM_402
SRR13191407	S.170822.00215	S.170822.00215_481	CDM_348
SRR13191406	S.170822.00216	S.170822.00216_406	CDM_347
SRR13191405	S.170822.00217	S.170822.00217_494	CDM_408
SRR13191404	S.170822.00218	S.170822.00218_575	CDM_423
SRR13191403	S.170822.00219	S.170822.00219_191	CDM_552
SRR13191401	S.170822.00221	S.170822.00221_26	CDM_553
SRR13191400	S.170822.00222	S.170822.00222_3	CDM_554
SRR13191399	S.170822.00223	S.170822.00223_204	CDM_426
SRR13191398	S.170822.00224	S.170822.00224_503	CDM_555
